Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
Логопедический альбом:занятия для закреп.звука с,Сахаровская О.,"В пособии представлены комплексные занятия, направленные на закрепление произношения у дошкольников звука [с]. Особенность данного пособия — апробированная методика, чёткая структура занятий, последовательное изложение учебного материала. Каждый урок содержит простые пояснения и образцы выполнения упражнений, а красочные иллюстрации помогают поддержать интерес ребёнка к занятиям. Увлекательные игровые упражнения и задания направлены на закрепление правильного звукопроизношения, обогащение словарного запаса, создание стимулов, «пусковых механизмов», которые обеспечивают развитие речи ребёнка. Основное внимание уделено развитию чувства ритма, фонематического восприятия и лексико-грамматической стороны речи. Логопедический альбом предназначен для работы с детьми дошкольного возраста с ОНР, ФФН, ФН и дизартрией. Материал может использоваться для индивидуальных занятий с логопедом, для закрепления пройденного материала по заданию логопеда и для самостоятельных занятий родителей с детьми.",2 900 тг,5,Феникс,2019 г.,9785222320716,Мягкий,5 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5131984_1464344.jpeg
Логопедический букварь,Жукова О.С.,"В отличие от традиционных пособий, буквы (звуки) в нашем Букваре представлены, начиная от простых для произношения и заканчивая сложными. Таким образом обучать чтению можно не только дошкольников, но и малышей, начинающих произносить свои первые слова детей, испытывающих проблемы с речью.Этап соотнесения звука с буквой является одним из самых сложных. Наш Букварь значительно упрощает этот процесс, благодаря веселым персонажам, которые дают зрительные и двигательные подсказки малышу.",3 800 тг,0,АСТ,2016 г.,9785170972364,128,Твердый,20 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5115078_1448082.jpeg
Мама - рядом. Игровые сеансы с детьми ранненго возраста в центре игр. поддержки развития. ФГОС,Неизвестно,"В пособии представлены практические материалы, раскрывающие возможности и особенности организации взаимодействия взрослых и детей раннего возраста в центре игровой поддержки развития ребенка в дошкольной образовательной организации. Содержание материала разработано в контексте федеральных государственных образовательных стандартов дошкольного образования. Пособие предназначено для воспитателей и руководителей детских садов, сотрудников научно-методических центров и окружных управлений образованием, а также может использоваться в образовательном процессе педагогических вузов и колледжей по направлениям подготовки специалистов «Образование и педагогика» и слушателей, обучающихся на курсах переподготовки и повышения квалификации. Пособие рекомендовано родителям, дети которых посещают или не посещают детские сады, а также няням и гувернерам.",4 500 тг,0,Мозаика-синтез,2017 г.,9785431509797,336,Мягкий,240 мм x 170 мм,535 г.,http://www.bookcity.kz/content/images/thumbs/5109604_1438914.jpeg
Методика раннего развития Марии Монтессори. От 6 месяцев до 6 лет,Дмитриева В.,"Все без исключения родители мечтают о том, чтобы их малыш стал успешным и уверенным в себе человеком. Но недостаточно просто мечтать, нужно самим позаботиться об этом! Самая популярная в мире и проверенная временем методика Марии Монтессори поможет вырастить свободную, творческую и гармоничную личность. Эта методика привлекает родителей и педагогов тем, что не требует много времени на занятия с ребенком, а полезные игрушки легко сделать самим из подручных средств. В книге подробно описаны способы организации развивающей среды для ребенка с первых дней его жизни, игры и упражнения, которые не только обучают ребенка, но и радуют его.",2 400 тг,0,Эксмо,2016 г.,9785699284016,224,Твердый,200 мм x 130 мм,252 г.,http://www.bookcity.kz/content/images/thumbs/1970539_1357256.jpeg
"Модели комплексно-интегрированных занятий с детьми 1,5-7 лет","Дреер С.С., Потыкан А.Н.","Предлагаемые модели интегрированных занятий для детей 1,5-7 лет составлены в соответствии с ФГТ на основе интеграции образовательных областей ""Познание"", ""Социализация"", ""Коммуникация"", ""Художественное творчество"" по направлениям: речевое и познавательное развитие, изобразительное и художественное творчество, основы английского языка, экологии и математики. Создание детских проектов ""Мой родной город"", ""Книжный город в групповой комнате"" направлено на развитие творческих способностей дошкольников. Пособие адресовано педагогам, специалистам детских учреждений всех видов и может быть использовано в рамках современных программ дошкольного образования.",500 тг,0,Учитель,2013 г.,9785705725076,140,Мягкий,200 мм x 145 мм,100 г.,http://www.bookcity.kz/content/images/thumbs/5102242_1438753.jpeg
Мой ребенок с удовольствием ходит в детский сад!,Быкова А.А.,"Анна Быкова — талантливый педагог, практикующий психолог, мама двух сыновей, ее советам по воспитанию доверяют более 10 тысяч родителей!В этой книге вы найдете ответы на очень важные вопросы, от которых зависит — ни много ни мало — счастье ребенка, его нормальное психическое развитие:— как облегчить ребенку расставание с мамой— как быстрее адаптироваться к детскому саду — не только ребенку, но и родителям— как научиться спокойно реагировать на детские слезы, истерики, отсутствие аппетита, нежелание оставаться с «чужой тетей»— что на самом деле происходит с ребенком в детском саду.А еще о важности новых трусов, постоянстве и маминых тревогах.Практический опыт, реальные истории, бесценные советы!",2 900 тг,0,АСТ,2017 г.,9785171027186,224,Твердый,200 мм x 130 мм,240 г.,http://www.bookcity.kz/content/images/thumbs/5131514_1463907.jpeg
"Музыка в детском саду: планирование, тематические и комплексные занятия",Барсукова Н.Г. и др.,"Предлагаемые материалы окажут теоретическую и практическую помощь в Дании системы планирования и диагностики, совершенствовании педагогических умений в области музыкального образования и приобщения ребенка к музыкальной культуре. Сборник составлен с учетом профессиональных трудностей и проблем, возникающих у музыкальных руководителей, и содержит конспекты комплексных и тематических занятий, современные подходы к их организации, основные критерии анализа и оценки деятельности музыкальных педагогов, сценарии развлечений и праздников. Предназначено музыкальным руководителям и воспитателям всех возрастных групп дошкольных образовательных учреждений.",1 800 тг,0,Учитель,2016 г.,9785705746873,208,Мягкий,215 мм x 145 мм,150 г.,http://www.bookcity.kz/content/images/thumbs/5102258_1438769.jpeg
Музыкальное воспитание в детском саду (2-7). ФГОС,Неизвестно,"В пособие, выпущенное к программе ""От рождения до школы"" и соответствующее ФГОС ДО, включена программа музыкального воспитания в детском саду и методические рекомендации к ней. В приложении представлены конспекты тематических и интегрированных занятий, музыкально-дидактические игры и другие материалы. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 500 тг,0,Мозаика-синтез,2016 г.,9785431506246,96,Мягкий,240 мм x 170 мм,165 г.,http://www.bookcity.kz/content/images/thumbs/5102386_1438897.jpeg
Музыкальное воспитание в детском саду. 3-4 лет. Младшая группа. ФГОС,Неизвестно,"В пособии представлены методические рекомендации по организации музыкального развития детей 3—4 лет, примерное комплексно-тематическое планирование, конспекты занятий, перечень методических пособий для занятий, система проверки успешности усвоения материала дошкольниками.Книга адресована широкому кругу работников дошкольного образования, родителям, а также студентам педагогических колледжей и вузов.",2 200 тг,0,Мозаика-синтез,2016 г.,9785431508592,160,Мягкий,240 мм x 170 мм,270 г.,http://www.bookcity.kz/content/images/thumbs/5102411_1438922.jpeg
Музыкальное воспитание в детском саду. 4-5 лет. Средняя группа. ФГОС,Неизвестно,"В пособии представлены методические рекомендации по организации музыкального развития детей 4-5 лет, примерное комплексно-тематическое планирование, конспекты занятий, перечень методических пособий для занятий, система проверки успешности усвоения материала дошкольниками.Книга адресована широкому кругу работников дошкольного образования, родителям, педагогам дополнительного образования, а также студентам педагогических колледжей и вузов.",3 000 тг,0,Мозаика-синтез,2017 г.,9785431510137,192,Мягкий,240 мм x 170 мм,320 г.,http://www.bookcity.kz/content/images/thumbs/5102412_1438923.jpeg
Музыкальные занятия: разработки и тематическое планирование. Вторая младшая группа,Лунева Т.А.,"Известно, что музыка открывает сердца, особенно детские. Пособие содержит тематическое планирование и конспекты музыкальных занятий с детьми 3-4 лет, содержание которых отражает положения ФГОС ДО и направлено на познавательное, речевое, социально-коммуникативное, физическое и художественно-эстетическое развитие, формирование эмоциональной отзывчивости, певческих навыков, чувства ритма, выразительности движений и песенного творчества младших дошкольников. Увлекательные сценарии досуговых мероприятий и итоговых праздников при творческом использовании помогут педагогам в организации развлечений, утренников, отчетных концертов и театрализованных представлений. Предназначено воспитателям и музыкальным руководителям дошкольных образовательных организаций.",1 600 тг,0,Учитель,2016 г.,9785705748839,216,Мягкий,200 мм x 145 мм,140 г.,http://www.bookcity.kz/content/images/thumbs/5102304_1438815.jpeg
Народное искусство — детям (3-7 лет). ФГОС,Неизвестно,"В пособии представлен материал, который поможет педагогам организовать работу по ознакомлению детей с народным искусством в соответствии с задачами этнокультурного развития, изложенными в ФГОС ДО. В книге содержатся планы работы, конспекты занятий, сценарии детских праздников, интегрированные циклы занятий по ознакомлению детей с народным искусством и развитию детского творчества. Книга будет полезна педагогам дошкольных учреждений, учителям начальных классов, руководителям художественных студий и кружков (дополнительное образование).",3 300 тг,0,Мозаика-синтез,2016 г.,9785431510120,232,Мягкий,240 мм x 170 мм,370 г.,http://www.bookcity.kz/content/images/thumbs/5102371_1438882.jpeg
Народное искусство - детям. Городецкая роспись. Наглядное пособие. ФГОС,Неизвестно,"Серия наглядно-дидактических пособий ""Народное искусство - детям"" предназначена для групповых и индивидуальных занятий с детьми 3-7 лет. Наглядный материал знакомит детей с основными народными промыслами. Пособия дают представления о цветовой гамме, орнаментах, узорах, форме, а также об основных сюжетах в работах народных мастеров. Наглядный материал может быть с успехом использован на занятиях по изобразительной деятельности, по ознакомлению с окружающим миром и других.",1 500 тг,0,Мозаика-синтез,2016 г.,9785431506314,8,Прочий,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5109617_1438898.jpeg
Народное искусство - детям. Дымковская игрушка. Наглядное пособие. ФГОС,Неизвестно,"Серия наглядно-дидактических пособий ""Народное искусство - детям"" предназначена для групповых и индивидуальных занятий с детьми 3-7 лет. Наглядный материал знакомит детей с основными народными промыслами. Пособия дают представления о цветовой гамме, орнаментах, узорах, форме, а также об основных сюжетах в работах народных мастеров. Наглядный материал может быть с успехом использован на занятиях по изобразительной деятельности, по ознакомлению с окружающим миром и других.",1 500 тг,0,Мозаика-синтез,2016 г.,9785431506321,8,Прочий,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102394_1438905.jpeg
Народное искусство - детям. Каргопольская игрушка. Наглядное пособие. ФГОС,Неизвестно,"Серия наглядно-дидактических пособий ""Народное искусство - детям"" предназначена для групповых и индивидуальных занятий с детьми 3-7 лет. Наглядный материал знакомит детей с основными народными промыслами. Пособия дают представления о цветовой гамме, орнаментах, узорах, форме, а также об основных сюжетах в работах народных мастеров. Наглядный материал может быть с успехом использован на занятиях по изобразительной деятельности, по ознакомлению с окружающим миром и других.",1 500 тг,0,Мозаика-синтез,2016 г.,9785431506277,8,Прочий,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102400_1438911.jpeg
Народное искусство - детям. Полхов-майдан. Наглядное пособие. ФГОС,Неизвестно,"Серия наглядно-дидактических пособий ""Народное искусство - детям"" предназначена для групповых и индивидуальных занятий с детьми 3-7 лет. Наглядный материал знакомит детей с основными народными промыслами. Пособия дают представления о цветовой гамме, орнаментах, узорах, форме, а также об основных сюжетах в работах народных мастеров. Наглядный материал может быть с успехом использован на занятиях по изобразительной деятельности, по ознакомлению с окружающим миром и других.",1 500 тг,0,Мозаика-синтез,2016 г.,9785431506284,8,Прочий,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102426_1438937.jpeg
Народное искусство - детям. Филимоновская игрушка. Наглядное пособие. ФГОС,Неизвестно,"Серия наглядно-дидактических пособий ""Народное искусство - детям"" предназначена для групповых и индивидуальных занятий с детьми 3-7 лет. Наглядный материал знакомит детей с основными народными промыслами. Пособия дают представления о цветовой гамме, орнаментах, узорах, форме, а также об основных сюжетах в работах народных мастеров. Наглядный материал может быть с успехом использован на занятиях по изобразительной деятельности, по ознакомлению с окружающим миром и других.",1 500 тг,0,Мозаика-синтез,2016 г.,9785431506260,8,Прочий,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5109598_1438938.jpeg
Нетрадиционные формы занятий с дошкольниками,Тимофеева Н.В.,"В пособии рассматриваются нетрадиционные формы работы с детьми в дошкольных образовательных учреждениях. Вниманию педагогов предложена информация о видах нетрадиционных занятий, требованиях к ним и критериям оценки, а также разработки разнообразных по форме занятий с дошкольниками различных возрастных групп.  Содержащиеся в пособии материалы позволят по-новому взглянуть на педагогический процесс и расширят границы проявления и раскрытия творческой индивидуальности взрослого и ребенка. Пособие предполагает творческое использование.    Предназначено педагогам и методистам дошкольных образовательных учреждений, может быть полезно студентам педагогических учебных заведений, начинающим свою профессиональную деятельность.",1 200 тг,0,Учитель,2014 г.,9785705746057,128,Мягкий,200 мм x 145 мм,85 г.,http://www.bookcity.kz/content/images/thumbs/5102266_1438777.jpeg
Ознакомление с предметным и социальным окружением. 3-4 года. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ""От рождения до школы"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлены краткие методические рекомендации, планирование и содержание работы по ознакомлению детей 3-4 лет с предметным и социальным окружением. Предложенная система работы включает беседы, экскурсии, наблюдения, игровые задания, элементарные опыты и многое другое. Система создана с учетом интеграции разных видов детской деятельности. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 100 тг,0,Мозаика-синтез,2016 г.,9785431504761,80,Мягкий,240 мм x 170 мм,143 г.,http://www.bookcity.kz/content/images/thumbs/5102420_1438931.jpeg
Ознакомление с предметным и социальным окружением. 4-5 лет. Средняя группа. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ""От рождения до школы"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлены краткие методические рекомендации, планирование и содержание работы по ознакомлению детей 4-5 лет с предметным и социальным окружением. Предложенная система работы включает беседы, экскурсии, наблюдения, игровые задания, элементарные опыты и многое другое. Система создана с учетом интеграции разных видов детской деятельности. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 200 тг,0,Мозаика-синтез,2016 г.,9785431504778,96,Мягкий,240 мм x 170 мм,166 г.,http://www.bookcity.kz/content/images/thumbs/5102376_1438887.jpeg
Ознакомление с предметным и социальным окружением. 5-6 лет. Старшая группа. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ""От рождения до школы"" под редакцией Н.Е. Вераксы, Т.С. Комаровой, М.А. Васильевой. В пособии представлены краткие методические рекомендации, планирование и содержание работы по ознакомлению детей 5-6 лет с предметным и социальным окружением. Предложенная система работы включает беседы, экскурсии, наблюдения, игровые задания, элементарные опыты и многое другое. Система создана с учетом интеграции разных видов детской деятельности. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 100 тг,0,Мозаика-синтез,2016 г.,9785431504785,80,Мягкий,240 мм x 170 мм,145 г.,http://www.bookcity.kz/content/images/thumbs/5102454_1438965.jpeg
Ознакомление с предметным и социальным окружением. 6-7 лет. Подготовительная группа. ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к примерной общеобразовательной программе дошкольного образования ""От рождения до школы"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. В пособии представлены краткие методические рекомендации, планирование и содержание работы по ознакомлению детей 6-7 лет с предметным и социальным окружением. Предложенная система работы включает беседы, экскурсии, наблюдения, игровые задания, элементарные опыты и многое другое. Система создана с учетом интеграции разных видов детской деятельности. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 100 тг,0,Мозаика-синтез,2016 г.,9785431504792,80,Мягкий,240 мм x 170 мм,141 г.,http://www.bookcity.kz/content/images/thumbs/5102455_1438966.jpeg
Ознакомление с природой в детском саду. 2-3 года. ФГОС,Неизвестно,"В пособии представлены краткие методические рекомендации, планирование и содержание работы по ознакомлению детей 2-3 лет с природой, а также содержание наблюдений на прогулке. Предложенная система работы включает экскурсии на природу, наблюдения за живыми объектами, игровые задания, элементарные опыты и многое другое. Система создана с учетом интеграции разных видов детской деятельности. Для занятий с детьми 2-3 лет. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 100 тг,0,Мозаика-синтез,2016 г.,9785431504907,64,Мягкий,240 мм x 170 мм,120 г.,http://www.bookcity.kz/content/images/thumbs/5109665_1438949.jpeg
Ознакомление с природой в детском саду. 3-4 г. Младшая группа. ФГОС,Неизвестно,"В пособии представлены краткие методические рекомендации, планирование и содержание работы по ознакомлению детей 3-4 лет с природой, а также содержание наблюдений на прогулке. Предложенная система работы включает экскурсии на природу, наблюдения за живыми объектами, игровые задания, элементарные опыты и многое другое. Система создана с учетом интеграции разных видов детской деятельности. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 100 тг,0,Мозаика-синтез,2016 г.,9785431505898,64,Мягкий,240 мм x 170 мм,120 г.,http://www.bookcity.kz/content/images/thumbs/5102413_1438924.jpeg
Ознакомление с природой в детском саду. 4-5 лет. Средняя группа. ФГОС,Неизвестно,"В пособии представлены краткие методические рекомендации, планирование и содержание работы по ознакомлению детей 4-5 лет с природой, а также содержание наблюдений на прогулке. Предложенная система работы включает экскурсии на природу, наблюдения за живыми объектами, игровые задания, элементарные опыты и многое другое. Система создана с учетом интеграции разных видов детской деятельности. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 200 тг,0,Мозаика-синтез,2016 г.,9785431504914,96,Мягкий,240 мм x 170 мм,165 г.,http://www.bookcity.kz/content/images/thumbs/5102447_1438958.jpeg
Ознакомление с природой в детском саду. 5-6 лет. Старшая группа. ФГОС,Неизвестно,"В пособии представлены краткие методические рекомендации, планирование, содержание работы по ознакомлению детей старшей группы с природой и цикл наблюдений на прогулке. Предложенная система работы включает экскурсии в природу наблюдения прохождение экологической тропы проектную, трудовую и игровую деятельность. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",1 200 тг,0,Мозаика-синтез,2016 г.,9785431505577,112,Мягкий,240 мм x 170 мм,205 г.,http://www.bookcity.kz/content/images/thumbs/5102458_1438969.jpeg
Ознакомление с природой в детском саду. 6-7 лет. Подготовительная группа. ФГОС,Неизвестно,"В пособии ""Ознакомление с природой в детском саду"" представлены краткие методические рекомендации, планирование, содержание работы по ознакомлению детей подготовительной к школе группы с природой и цикл наблюдений на прогулке. Предложенная система работы включает экскурсии в природу наблюдения прохождение экологической тропы проектную, трудовую и игровую деятельность. Книга адресована широкому кругу работников дошкольного образования, а также студентам педагогических колледжей и вузов.",2 000 тг,0,Мозаика-синтез,2017 г.,9785431510113,112,Мягкий,240 мм x 170 мм,195 г.,http://www.bookcity.kz/content/images/thumbs/5109603_1438886.jpeg
Организация деятельности детей на прогулке. Старшая группа,"Кобзева Т.Г., Александрова Г.С., Холодова И.А.","В пособии представлена система разработанных прогулок во все четыре сезона года с богатым набором стихов, загадок, пословиц и поговорок, дидактических и подвижных игр. Для каждой прогулки сформулированы задачи и предложен набор средств по развитию познавательных, речевых и практических умений старших дошкольников в процессе ознакомления с объектами природы и природными явлениями. Предназначено воспитателям и методистам дошкольных образовательных учреждений, может быть полезным для родителей дошкольников.",1 800 тг,0,Учитель,2015 г.,9785705740710,288,Мягкий,215 мм x 145 мм,205 г.,http://www.bookcity.kz/content/images/thumbs/5102231_1438742.jpeg
Основы безопасности. Комплекты для  оформления родительских уголков в ДОО (3-4 л). ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к основной образовательной программе дошкольного образования ""От рождения до школы"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. Пособие предназначено для оформления родительского уголка в младшей группе детского сада. Шестнадцать карточек (по две на каждую тему) помогут родителям сформировать у дошкольника навыки адекватного поведения в различных опасных ситуациях: на улицах города, дома, на природе и т. д. Материалы пособия помогут родителям провести беседы с ребенком о правилах безопасного поведения, организовать игры и упражнения, наблюдения, выбрать художественные произведения для чтения и заучивания наизусть. Пособие будет полезно педагогам дошкольных учреждений и родителям.",2 500 тг,0,Мозаика-синтез,2016 г.,9785431508011,16,Прочий,15 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102391_1438902.jpeg
Основы безопасности. Комплекты для  оформления родительских уголков в ДОО (4-5 л). ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к основной образовательной программе дошкольного образования ""От рождения до школы"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. Пособие предназначено для оформления родительских уголков в средней группе детского сада. Шестнадцать карточек (по две на каждую тему) помогут родителям сформировать у дошкольника навыки адекватного поведения в различных опасных ситуациях: на улицах города, дома, на природе и т.д. Материалы пособия помогут родителям провести беседы с ребенком о правилах безопасного поведения, организовать игры и упражнения, наблюдения, выбрать художественные произведения для чтения и заучивания наизусть. Пособие будет полезно педагогам дошкольных учреждений и родителям.",2 500 тг,0,Мозаика-синтез,2016 г.,9785431508028,16,Прочий,15 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102395_1438906.jpeg
Основы безопасности. Комплекты для  оформления родительских уголков в ДОО (6-7 л). ФГОС,Неизвестно,"Настоящее пособие издано в рамках учебно-методического комплекта к основной образовательной программе дошкольного образования ""От рождения до школы"" под редакцией Н.Е.Вераксы, Т.С.Комаровой, М.А.Васильевой. Пособие предназначено для оформления родительского уголка в старшей группе детского сада. Шестнадцать карточек (по две на каждую тему) помогут родителям сформировать у дошкольника навыки адекватного поведения в различных опасных ситуациях: на улицах города, дома, на природе и т. д. Материалы пособия помогут родителям провести беседы с ребенком о правилах безопасного поведения, организовать игры и упражнения, наблюдения, выбрать художественные произведения для чтения и заучивания наизусть. Пособие будет полезно педагогам дошкольных учреждений и родителям.",2 500 тг,0,Мозаика-синтез,2016 г.,9785431508042,16,Прочий,5 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5102377_1438888.jpeg
Пальчиковые игры и упражнения для детей 2-7 лет,Калинина Т.В.,"Пособие представляет собой сборник пальчиковых игр для детей дошкольного возраста, в том числе в форме упражнений и небольших инсценировок сказочных сюжетов. Упражнения под стихотворные тексты, имитационные действия и задания для мелкой моторики снимут застойные явления, дадут отдых утомленным мышцам, органам зрения, слуха малышей.ГОС. Предназначено воспитателям, психологам, музыкальным руководителям, инструкторам физического воспитания, логопедам детских садов полезно...",1 100 тг,0,Учитель,2015 г.,9785705748396,152,Мягкий,200 мм x 145 мм,105 г.,http://www.bookcity.kz/content/images/thumbs/5102259_1438770.jpeg
