Название,Автор,Цена,Описание,Издательство,Год издания,Штрих-код,Количество страниц,Переплет,Размер,Толщина,Вес,Картина
"Механизмы работы мозга, которые делают нас богатыми. Понять, освоить, применить!",Хилл Н.,"Наполеон Хилл — автор мегабестселлера ""Думай и богатей!"", обязательного к прочтению для всех, кто хочет добиться успеха. У вас в руках — еще одна выдающаяся книга знаменитого автора, ранее не издававшаяся на русском языке. Эта работа Хилла посвящена внутренней силе, которая позволяет творить настоящие чудеса. Именно эта сила помогает моделировать свою жизнь в соответствии с поставленными задачами и привлекать богатство, излечиваться от болезней. Эта сила вела к успеху многих великих личностей — Эндрю Карнеги, Франклина Рузвельта, Генри Форда и Рокфеллера. Читайте, и вы также сможете раскрыть в себе источник этой удивительной внутренней силы, научитесь управлять мыслями и подсознанием, а значит — творить чудеса!",1 700 тг,5,АСТ,2019 г.,9785171122423,Мягкий,18 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5126482_1459024.jpeg
"Микротренды, меняющие  мир прямо сейчас","Финман М., Пенн М., Мере Ф.","Глобальные тренды всегда возникают из совокупности множества микротрендов. А те, в свою очередь, базируются на прорывных идеях. Как понять, какая идея «выстрелит», а какая - нет? Нужно отлично ориентироваться в уже существующих потребностях, прогнозировать, что будет популярно в будущем, и знать правила формирования уже существующих микротрендов. Корейская косметика и мужчины-домохозяйки, браки по интернету и «письма из Африки», популяризация ЛГБТ и снижение доверия к банкам, активность иммигрантов и биохакинг, легализация марихуаны и увлечение дронами - это малая часть примет времени последних 10 лет. Как возникают современные микротренды, какие у них перспективы, какие принципы лежат в их основе - об этом и многом другом интереснейшая книга Марка Пенна, социолога и политтехнолога, к услугам которого не единожды обращались Билл Клинтон, Тони Блэр и Билл Гейтс. Объективный и отчасти безжалостный обзор современных трендов создан при участии Мередит Файнман, основательницы и директора FinePoint Digital PR, публициста и автора статей в Harvard Business Review, Entrepreneur, Elle, Marie Claire, The Washington Post.",6 100 тг,3,Альпина Паблишер,2019 г.,9785961410358,Твердый,15 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5129052_1461515.jpeg
Микроэкономика (есептер мен тест жинағы). Оқу құралы. 3-басылым,"Айдарханов М., Жұмашбекова С.",Неизвестно,2 300 тг,3,Фолиант баспасы,2016 г.,9786013024998,Твердый,13 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5090166_1428203.jpeg
Микроэкономика. Краткий курс в комиксах,"Клейн Г., Бауман Й.","Представляете себе экономику в комиксах? А принципы экономической теории, изложенные в простой и доступной шуточной форме? Оказывается, в рассказах о сложных процессах есть место юмору. Книга ""Микроэкономика"" Грейди Клейна и Йорама Баумана - прекрасное тому подтверждение. Забавные сюжеты комиксов повествуют о том, что такое предложение и спрос, ценообразование, налоги, прибыль, риск и многое другое. Оставаясь в рамках научной дисциплины, авторы живо и непринужденно объясняют суть таких базовых понятий, как конкуренция, рыночное взаимодействие, величина процентной ставки и аукцион, при этом забавный визуальный ряд позволяет легче усвоить новый и систематизировать уже изученный материал.",3 300 тг,5,Азбука-Аттикус,2017 г.,978538909635603,224,Мягкий,13 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5077981_1417234.jpeg
"Микроэкономика: Индивидуальное поведение и стратегическое взаимодействие участников рынка : учебное пособие. 2-е изд., стер",Тиссен Е.В.,"В пособии дан анализ потребительского поведения, рассмотрено поведение фирмы в условиях совершенной конкуренции, показаны инструменты анализа поведения фирмы в условиях несовершенной конкуренции. Приведены формальные доказательства основных выводов микроэкономической теории, раскрывается связь базовых моделей с практикой. Теоретический материал дополнен задачами для самостоятельного решения. Для студентов магистратуры, изучающих дисциплину «Микроэкономика (продвинутый уровень)», а также для студентов бакалавриата, обучающихся по программам повышенного уровня сложности.",2 300 тг,0,Флинта,2016 г.,9785976526815,92,Мягкий,10 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5113163_1446472.jpeg
Микроэкономика: Учебник для вузов. 5-е изд. Стандарт третьего поколения,Вечканов Г.С.,"Микроэкономика как составная часть экономикс (экономики) - одна из самых ди-намичных и интересных экономических наук. В новом учебном пособии российских авто-ров сделана попытка рассказать об этом предмете как можно более легко, просто и интересно. Помимо курса ""Микроэкономика"" в пособии также содержатся биографические данные ученых мира, в том числе Нобелевских лауреатов по экономике, внесших крупный вклад в становление и развитие микроэкономики. Учебник предназначен для студентов-бакалавров, но им могут пользоваться студенты-специалисты, магистры, аспиранты, а также все, кто интересуется проблемами микроэкономики. Допущено Учебно-методическим объединением по образованию в области производственного менеджмента в качестве учебника для студентов, обучающихся по специальности 060800 ""Экономика и управление на предприятии машиностроения"".",10 000 тг,0,Питер,2017 г.,9785496025393,480,Твердый,215 мм x 145 мм,555 г.,http://www.bookcity.kz/content/images/thumbs/5113007_1437532.jpeg
Микроэкономическая теория. Кн.1,"Мас-Колелл А.,У","Мастерски сочетая результаты многолетнего преподавания микроэкономики в Гарвардском университете, Мас-Колелл, Уинстон и Грин написали выдающуюся работу, представляющую сбалансированный и углубленный анализ основ микроэкономики. Авторы задались целью создать прочную организационную основу, на которой строится эффективное преподавание микроэкономической теории. Результат представляет беспрецедентную глубину охвата всех существенных тем, позволяя преподавателям микроэкономики ""формировать"" свои курсы в соответствии с личными приоритетами и стилями. Такие темы, как автономная теория игр, информационная экономика и теория общего равновесия в условиях неопределенности, получают то внимание, которое соответствует их роли в пределах дисциплины. Авторы посвятили теории игр целый раздел, сделав его самостоятельным, чтобы преподаватели смогли возвращаться к этой теме по мере развития курса и в тот момент, когда им это удобно. Представление материала выполнено ясно, доступно и привлекательно, что...",5 900 тг,3,"Издательский дом ""Дело"" РАНХиГС",2016 г.,9785774911042,736,Твердый,260 мм x 170 мм,1385 г.,http://www.bookcity.kz/content/images/thumbs/5098256_1436210.jpeg
Микроэкономическая теория. Кн.2,"Мас-Колелл А.,У","Многие специалисты по микроэкономической теории ожидали появления текста, который смог бы обеспечить сбалансированный и углубленный анализ основ микро­экономики. Мастерски сочетая результаты многолетнего преподавания микроэкономики в Гарвардском университете, Андреу Мас-Колелл, Майкл Уинстон и Джерри Грин выполнили эту задачу, написав потрясающую работу ""Микроэкономическая теория"". Авторы задались целью создать прочную организационную основу, на которой строится эффективное преподавание микроэкономической теории. Результат представляет беспрецедентную глубину охвата всех существенных тем, позволяя преподавателям микроэкономики формировать свои курсы в соответствии с личными приоритетами и стилями. Такие темы, как автономная теория игр, информационная экономика и теория общего равновесия в условиях неопределенности, получают то внимание, которое соответствует их роли в пределах дисциплины. Авторы посвятили теории игр целый раздел, сделав его самостоятельным, чтобы преподаватели смогли...",5 900 тг,3,"Издательский дом ""Дело"" РАНХиГС",2016 г.,9785774911059,640,Твердый,260 мм x 170 мм,1220 г.,http://www.bookcity.kz/content/images/thumbs/5098250_1436204.jpeg
Минуту внимания. Как заинтриговать и увлечь,Хорн С.,"Перегруженный информацией человек редко концентрируется на очередной новости долее нескольких секунд. Если вы не смогли заинтересовать его за это время, то дальше эта вероятность снижается в разы. Эта книга рассказывает о приемах устной, письменной и невербальной коммуникации: понятно, легко, на примерах. Она нужна тем, кому требуется держать внимание аудитории: проводить презентации, «продавать» идеи, получать финансирование, открывать новые направления и проекты, мотивировать команду. Автор – специалист по коммуникациям и брендингу с многолетним опытом консультирования. Среди ее клиентов NASA, ВМС США, KPMG, Hewlett-Packard и многие другие известные компании. На русском языке публикуется впервые.",8 100 тг,0,"Манн, Иванов и Фербер",2017 г.,9785001004806,Твердый,17 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5122172_1454565.jpeg
"Мир трех нулей: Как справиться с нищетой, безработицей и загрязнением окружающей среды",Юнус М.,"Мир переживает серьезный кризис, и его причина — капитализм. В своей текущей форме он ведет к еще большему неравенству, безработице и загрязнению окружающей среды. Требуется радикальная перестройка экономической системы. Важнейшую роль в новом экономическом строе будет играть социальный бизнес — ему под силу справиться с проблемами, на которые не обращают внимания предприниматели. 
Это не просто красивая идея. Автор книги, лауреат Нобелевской премии мира, уже доказал эффективность социального бизнеса: он сам помог миллионам неимущих. В этой книге он рассказывает, что именно нам надо сделать, чтобы решить стоящие перед человечеством проблемы.",5 600 тг,2,Альпина Паблишер,2019 г.,9785961414882,Твердый,18 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5130922_1463297.jpeg
Мировая экономика. Шпаргалка,Заскока С.А.,Неизвестно,200 тг,0,Буклайн,2008 г.,9785991900270,Мягкий,5 мм,27 г.,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5034650_1354638.jpeg
Мировые стандарты складской логистики,Фразелли Э.,"Эта книга - уникальное пособие по практической складской логистике. В ней подробно освещаются технологические аспекты функционирования склада и даются ответы на многие вопросы, касающиеся технологии грузообработки и организации хранения. Начните читать, и книга вас обязательно увлечет - так доступно и вместе с тем высокопрофессионально в ней раскрываются основные принципы организации эффективной работы склада. Все эти принципы следуют из практики и практикой же подтверждаются: каждый раздел проиллюстрирован примером из деятельности реальных, известных компаний. Книга будет интересна и начальнику склада, и ИТ-директору, и владельцу бизнеса. Интересна книга будет и всем тем, кто только начинает погружаться в мир складской логистики, в дальнейшем планируя профессионально работать в этой сфере.",5 500 тг,5,Альпина Паблишер,2017 г.,9785961459654,336,Мягкий,240 мм x 170 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5100562_1437266.jpeg
Мистика лидерства. Развитие эмоционального интеллекта,де Врис М.,"Автор, один из ведущих экспертов Европы в области менеджмента, всесторонне рассматривает феномен лидерства и показывает пути, которые могут улучшить способность руководителя понимать самого себя, мотивировать и поддерживать своих подчиненных. Анализируются такие проблемы, как естественная человеческая тенденция сопротивляться переменам взаимодействие рационального и иррационального в поведении руководителей жизненный цикл руководителя и преемственность руководства утрата энтузиазма и апатия служащих деструктивные стили руководства. Кетс де Врис детально исследует характеристики эффективного лидерства и выделяет навыки, отличающие эффективного руководителя. Показывает, как компании могут оценить лидерские способности потенциальных кандидатов и развить навыки лидерства в тех, кто уже занимает руководящие должности. Книга содержит практические упражнения и анкеты, которые помогут оценить положение дел в компании, вскрыть опасные симптомы и предотвратить появление серьезных...",5 400 тг,4,Альпина Паблишер,2018 г.,9785961462524,278,Твердый,240 мм x 170 мм,580 г.,http://www.bookcity.kz/content/images/thumbs/5097153_1435170.jpeg
Міндеттемелік құқық,"Айтжан Б.Е., Максатов Н.",Неизвестно,800 тг,2,Жеті Жаргы,2017 г.,9786012881233,Мягкий,7 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5103115_1439600.jpeg
Множественные источники дохода,Аллен Р.,"Вы хотели бы иметь разные источники гарантированного дохода? Значит, книга Роберта Аллена окажет вам неоценимую помощь. Она научит вас тому, как любой человек может создать множество ручейков и рек дохода, выливающихся в океан достатка на всю жизнь. Вы узнаете о 10 замечательных способах зарабатывать весьма солидные суммы, практически не тратя на это времени, работая дома, используя по минимуму или вообще не вкладывая собственные деньги. Узнайте, как одна хорошая сделка способна обеспечить вас на всю жизнь! Для широкого круга читателей.",6 900 тг,3,Попурри,2018 г.,9789851530669,560,Твердый,200 мм x 145 мм,605 г.,http://www.bookcity.kz/content/images/thumbs/5093184_1431084.jpeg
"Моделирование производственных и экономических процессов. Учебное пособие. 2-е издание, стереотип.","Гедевани Р., Бурнашов В.",Неизвестно,2 800 тг,0,Фолиант баспасы,2017 г.,9786013027227,Твердый,16 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5114038_1447150.jpeg
"Мои правила: Слушай, учись, смейся и будь лидером",Брэнсон Р.,"Сэр Ричард Брэнсон, всемирно известный предприниматель, эксцентрик и миллиардер-бунтарь, создал огромное количество совершенно разнородных бизнесов, объединенных брендом Virgin. В новой книге он с присущей ему откровенностью и юмором рассказывает о своих принципах и правилах жизни, которые позволили проблемному подростку, в 16 лет бросившему школу, основать десятки успешных компаний.",5 000 тг,4,Альпина Паблишер,2018 г.,9785961468120,360,Твердый,215 мм x 145 мм,545 г.,http://www.bookcity.kz/content/images/thumbs/5072630_1412072.jpeg
"Монарх. Как стать лидером, победить и не потерять 4-е изд.",Степанов Д.,"Мистики утверждают, что даты рождения и смерти предопределены свыше. Что же тогда остается человеку? Только то, что находится между рождением и смертью. Сама жизнь. И только человек, решивший управлять своей судьбой, может сам выбирать те ""подробности"", которые будут вписаны в его биографию. Это его священное право, как в древности право Монарха - казнить и миловать. Да впрочем, этот человек сам и есть монарх. Господин своей судьбы.Для тех, кто решил для себя избрать путь монарха, написана эта книга.",3 400 тг,0,Крылов,2018 г.,9785422603084,192,Мягкий,10 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5119967_1452783.jpeg
Монополия на клиента,Шевыров Н.В.,"В наше время ""уникальный, не имеющий аналогов продукт"" - чрезвычайная редкость. В каждой сделке соревнуются не компании, а их представители.Эта книга - о том, что мечтает знать каждый менеджер по продажам: как привлечь и удержать клиента? как ""подвинуть"" конкурента? как продать дороже?Книга будет полезна начинающим менеджерам по продажам, опытным продавцам, руководителям отделов продаж, топ-менеджерам и владельцам компаний.",4 200 тг,1,Питер,2017 г.,9785496030328,336,Твердый,215 мм x 145 мм,430 г.,http://www.bookcity.kz/content/images/thumbs/5109821_1441915.jpeg
Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно,Неизвестно
Мотивация на 100%: а где же у него кнопка?,Иванова С.,"В своей книге Светлана Иванова рассказывает о подходах к повышению эффективности работы наиболее важного ресурса компании?- ее сотрудников. В ней собраны и на практических примерах исследованы методы, которые наиболее часто используются западными и российскими компаниями. С помощью этой книги вы сможете сформировать систему мотивации персонала, оптимальную для вашей компании.",4 500 тг,5,Альпина Паблишер,2018 г.,9785961462838,286,Твердый,215 мм x 145 мм,420 г.,http://www.bookcity.kz/content/images/thumbs/5077149_1416367.jpeg
"Моя жизнь, мои достижения",Форд Г.,"В 1911 году Генри Форд изменил мир. Он вошел в историю как изобретатель конвейера и один из самых честных миллионеров. Форд ошибался, терял состояние и богател, судился за патенты, выигрывал и проигрывал тяжбы, он вытащил Америку из экономической депрессии и стал символом самой мощной экономики в истории человечества. Идеи и методы организации производства, описанные в этой знаменитой книге, внедрены в деятельность тысяч предприятий и заслуживают внимания каждого, кто создает свой бизнес.",3 900 тг,5,Попурри,2018 г.,9789851537781,352,Твердый,1 мм x 1 мм,501 г.,http://www.bookcity.kz/content/images/thumbs/5125040_1457635.jpeg
Моя жизнь. Мои достижения,Форд Г.,"Книга ""Моя жизнь. Мои достижения"" известного американского промышленника Генри Форда (1863-1947) является интереснейшим философским и историческим трактатом, объясняющим временного мироустройства. Эта книга - не просто блистательный рассказ ""отца"" автомобильной промышленности США о своей жизни, в ней запечатлен практический опыт основания небывалого по масштабам производства. В наши дни многие из открытий Форда, к сожалению, были забыты, и мы уверены, что предприниматели и управленцы смогут почерпнуть немало идей из этого ставшего классическим труда по бизнес-менеджменту.",2 900 тг,5,АСТ,2018 г.,9785170779680,352,Твердый,200 мм x 130 мм,341 г.,http://www.bookcity.kz/content/images/thumbs/3810407_1383928.jpeg
Моя жизнь. Мои достижения,Форд Г.,"?Мемуары выдающегося менеджера XX века ""Моя жизнь. Мои достижения"" — одна из самых известных настольных книг предпринимателей, в которой содержится богатейший материал, посвященный вопросам организации деятельности. Выдержав более ста изданий в десятках стран мира, автобиография Генри Форда не потеряла своей актуальности для многих современных экономистов, инженеров, конструкторов и руководителей. За плечами отца-основателя автомобильной промышленности Генри Форда — опыт создания производства, небывалого по своим масштабам и организации. Снискав славу гениального неуча-слесаря, величайший промышленник XX столетия долгое время хранил молчание, не выступая в прессе. И только к шестидесяти годам известный миллиардер написал книгу, в которой соединены достижения науки двадцатого века с его собственными изобретениями и достижениями в области техники, коммерции и менеджмента.",1 500 тг,5,АСТ,2019 г.,9785171075347,352,Мягкий,29 мм,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5117944_1450846.jpeg
МСФО в Казахстане: принципы перехода и применения,Нурсеитов Э.О.,Неизвестно,4 600 тг,4,Лем,2013 г.,9789965714672,Мягкий,16 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/4340347_1329045.jpeg
"МСФО. Нематериальные активы. Учетная политика и налогообложение. Издание 3-е, переработанное",Скала Б.В.,Неизвестно,1 600 тг,0,Лем,2011 г.,9786012391725,Мягкий,12 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5004196_1326261.jpeg
МСФО. Пособие по начальной подготовке профессионального бухгалтера,Нурсеитов Э.О.,Неизвестно,3 400 тг,4,Лем,2015 г.,9786012392661,Мягкий,13 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5054099_1353149.jpeg
"Мудрость большого бизнеса. 5000 цитат о бизнесе, менеджменте и финансах",Неизвестно,"Перед вами один из самых больших и полных сборников высказываний о бизнесе - настольная книга руководителя процветающей фирмы. Авторами этого замечательного сборника стали более 1500 известных и выдающихся личностей. Их опыт и знания, сконцентрированные в метких афоризмах и замечаниях, непременно вдохновят вас на создание креативных проектов и помогут по-новому увидеть ваше дело.",10 000 тг,0,Рипол Классик,2016 г.,9785386096205,752,Твердый,240 мм x 170 мм,1105 г.,http://www.bookcity.kz/content/images/thumbs/5097846_1435829.jpeg
Музей менеджменті және маркетингі. Оқу құралы,Мусаева,"Оқу құралы. «Музей менеджменті және маркетингі» курсы бойынша қарастырылатын мәселелері толық қамтиды. Оқу құралы музей саласындағы менеджмент пен маркетинг мәселелеріне арналған елдегі тұңғыш басылымдардың бірі болып табылады. Ол өзіне жаңа экономикалық жағдайда музейлер өмірін жөнге салу бойынша ғылыми–зерттеу мен практикалақ басшылық жасаудың қырларына біріктереді.Оқу құралы халықарлық қызметтестік жемісі болып табылады, әрі ондағы бөліммдер шетелдерде жинақталған музейлердің рынокқа бейімделу тәжірибесін көрсетеді. Бірқатар бөлімдерде маркетингтік зерттеулерді іске асыру процедурасы нақты шешілген, музей тәжірибесіне жаңа басқару және коммуникациялық технологияларды ендіру бойынша ұсыныстар беріледі.Оқу құралы музей кызметкерлеріне, музейтанушыларға, профильді оқу орындарының оқытушылары мен студенттеріне әрі постиндустриалды қоғам дәуірінде мәдениеттің өркендеу мәселесіне қызығушылық танытатын оқырмандардың кең тобына арналған.",1 100 тг,3,Триумф,2007 г.,9786017019020,Мягкий,5 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5017270_1337821.jpeg
Мұрагерлік құқық,Мақсатов Н.,Неизвестно,1 700 тг,2,Жеті Жаргы,2017 г.,9786012881257,Мягкий,7 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5106723_1443061.jpeg
Мышление стратега: Искусство бизнеса по-японски,Омаэ К.,"За два десятилетия книга, которую написал бизнес-стратег с мировой славой Кеничи Омае, стала классической.Омае предельно ясно и точно объясняет причины успешных стратегий некоторых компаний, раскрывает их процессы делового мышления и методы планирования. В книге показано, как фокусирование на главных элементах стратегического плана - корпорации, потребителях и конкурентах - помогает компании добиться победы.Классический труд Омае содержит много наглядных примеров стратегического мышления и не перестает вдохновлять менеджеров всех уровней на достижение новых высот смелой и творческой стратегической мысли.",7 300 тг,4,Альпина Паблишер,2019 г.,9785950020803,212,Твердый,245 мм x 173 мм,470 г.,http://www.bookcity.kz/content/images/thumbs/5118600_1451487.jpeg
На пределе. Неделя без жалости к себе,Ларссен Э. Б.,"О книге: 7-дневный интенсив по личному развитию от ведущего тренера Норвегии и автора бестселлера ""Без жалости к себе"". Одна из ключевых стадий подготовки бойцов специального назначения в разных странах — это ""Hell Week"", ""адская неделя"", ""Курс молодого бойца"". У нее может быть много названий. Эрик Ларссен, лучший бизнес-тренер Норвегии, сам служивший в специальных войсках, заметил, что большинство людей кардинально меняются к лучшему за эту неделю и часто вспоминают её всю жизнь с гордостью. Он создал ""гражданскую версию"" этой недели — интенсивную программу, которую может выполнить любой человек, где бы он ни работал. Она начинается в 5 утра в понедельник и заканчивается вечером в воскресенье. За это время вы изменитесь в лучшую сторону. Нам часто кажется, что мы могли бы успевать больше, работать лучше, больше заниматься спортом... Но мы этого не делаем. Отчасти потому, что боимся трудностей. Эта неделя покажет вам, что вы можете гораздо больше, чем вам кажется. ...",7 700 тг,5,"Манн, Иванов и Фербер",2019 г.,9785000578124,208,Мягкий,240 мм x 170 мм,350 г.,http://www.bookcity.kz/content/images/thumbs/5090033_1428088.jpeg
"На самом видном месте. Как сегодня увидеть то, что купят завтра","Чипчейз Я., Штейнгардт С.","Яна Чипчейза, автора этой книги, называют спецагентом маркетинговых исследований. Его работа заключается в изучении интересов и нужд сегодняшних потребителей - с тем чтобы выявить то, что будет востребовано ими завтра: новая услуга, элемент дизайна, товар. Многочисленные экспедиции и исследования, организованные Яном в различных странах мира, способствовали накоплению у членов его команды колоссального опыта в области сбора и обработки информации.",4 000 тг,0,Азбука-Аттикус,2014 г.,978538906139201,288,Твердый,215 мм x 145 мм,375 г.,http://www.bookcity.kz/content/images/thumbs/5005900_1388652.jpeg
Набор кодексов РК 2019: Налоговый кодекс. Трудовой кодекс. Предпринимательский кодекс,Неизвестно,"Уникальный и самый актуальный набор, в который входят: налоговый кодекс, трудовой кодекс и предпринимательский кодекс. Это необходимая настольная книга будет служить Вам не один год.

Преимущества:
•	в течение 2019 года законами Республики Казахстан были внесены изменения и дополнения в положения Налогового кодекса, которые имеют различные сроки введения в действие.  Для удобства в нашем издании внесенные изменения, дополнения и сроки их введения  выделены  жирным курсивом. 
•	- в подарок «Календарь налогоплательщика» (цветной, размер А3).
•	- 3 кодекса в одной книге - это удобно  и выгодно 
•	- удобный поиск статей и разделов 
•	- формат А4, высокое качество печати, бумаги
- актуальность на весь 2019 год",4 200 тг,5,Алматы,2019 г.,2200003791761,Мягкий,25 мм,Неизвестно,Неизвестно,http://www.bookcity.kz/content/images/thumbs/5128203_1460560.jpeg
Найти идею: Введение в ТРИЗ - теорию решения изобретательских задач,Альтшуллер Г.,"Постичь тайну творчества пытались многие, но только Генриху Сауловичу Альтшуллеру удалось создать стройную теорию решения изобретательских задач - ТРИЗ. Изучив десятки тысяч патентов и авторских свидетельств, Альтшуллер открыл основные законы изобретательства и показал, что процесс создания изобретений управляем. Процесс изобретательства требует правильной организации мышления, преодоления психологической инерции, стремления к идеальному решению, разрешения противоречия, скрытого в любой нестандартной задаче. ТРИЗ признана во всем мире и применяется для решения творческих задач во многих областях человеческой деятельности, начиная с конструирования и проектирования и заканчивая рекламой, PR, управлением. Книга будет интересна всем, кто стремится повысить эффективность творчества, и будет полезна не только изобретателям и инженерам, но и бизнесменам, менеджерам, людям творческих профессий, студентам и школьникам.",6 000 тг,5,Альпина Паблишер,2019 г.,9785961453300,404,Твердый,215 мм x 145 мм,510 г.,http://www.bookcity.kz/content/images/thumbs/5077916_1417171.jpeg
Найти умного: Как проверить логическое мышление и творческие способности кандидата,Паундстоун У.,"Цитата ""Корпорация Microsoft сыграла роль катализатора в изменении практики проведения интервью для подбора кандидатов на работу. Это произошло во многом из-за изменения приоритетов при подборе персонала в самых разных отраслях. Теперь неудачные решения в этой области обходятся дороже, чем когда бы то ни было, поэтому работодатели стали придавать интервьюированию кандидатов на рабочее место беспрецедентное, может быть, даже чрезмерное значение"". Уильям Паундстоун О чем книга Прочитав ""Найти умного"", вы не растеряетесь, если во время HR-интервью вас вдруг спросят о том, сколько в мире настройщиков пианино, как без помощи весов взвесить реактивный авиалайнер или почему в зеркалах меняются местами правое и левое, а не верх и низ. Впрочем, задачки, над которыми можно поломать голову, - не главное достоинство книги. Подробнейшим образом рассказывается о методике рекрутинга, принятой в Microsoft и все более активно заимствуемой...",6 300 тг,4,Альпина Паблишер,2019 г.,9785961463293,266,Твердый,215 мм x 145 мм,424 г.,http://www.bookcity.kz/content/images/thumbs/5100570_1437274.jpeg
