"Название","Автор","Цена","Описание","Издательство","Год издания","Штрих-код","Количество страниц","Переплет","Размер","Толщина","Вес","Картина"
"МЭРИ ПОППИНС","Треверс П.","В 1934 году вышла в свет первая повесть об идеальной няне Мэри Поппинс, которая наладила быт в одной английской семье и, несмотря на свою строгость, полюбилась воспитанникам. Она не только прекрасная няня, но и волшебница: понимает язык зверей и птиц, у нее очень странные и интересные знакомые, а передвигается она весьма оригинальным способом - летает на зонтике. Своих подопечных Джейн и Майкла Бэнкс она научила видеть сказочное в самых обычных вещах и не бояться никаких перемен. Предлагаем вниманию читателей неадаптированный текст повести, снабженный комментариями и словарем.","2 400 тг","3","Каро","2019 г.","9785992505153","192","Мягкий","165 мм x 120 мм","91 г.","http://www.bookcity.kz/content/images/thumbs/5075138_1414416.jpeg"
"Мэри Поппинс. Marry Poppins","Трэверс П.Л.","Книга представляет собой адаптацию увлекательной повести известной английской писательницы Памелы Трэверс ""Мэри Поппинс"". Прочитав эту книгу, вы узнаете об увлекательных приключениях Джейн и Майкла, об их экстравагантной няне и ее друзьях. В пособии текст книги адаптирован в учебных целях до уровня Elementary. Упражнения, представленные в конце каждой главы, помогут вам развить навыки чтения, расширить словарный запас и закрепить грамматические правила.","1 300 тг","5","Айрис","2019 г.","9785811266562","144","Мягкий","215 мм x 145 мм","150 г.","http://www.bookcity.kz/content/images/thumbs/5060982_1401546.jpeg"
"Мэри Поппинс. Mary Poppins. Elementary + CD","Трэверс П.Л.","Книга представляет собой адаптацию увлекательной повести известной английской писательницы Памелы Трэверс ""Мэри Поппинс"". Прочитав эту книгу, вы узнаете об увлекательных приключениях Джейн и Майкла, об их экстравагантной няне и ее друзьях. Упражнения, представленные в конце каждой главы, помогут вам развить навыки чтения, расширить словарный запас и закрепить грамматические правила. Книга содержит также биографию писательницы, перевод трудных слов перед каждой главой и постраничный комментарий. Пособие адресовано учащимся 5-7 классов средних школ, лицеев, гимназий, а также широкому кругу лиц, изучающих английский язык самостоятельно. Книга сопровождается аудиоприложением. Диск содержит текст книги (без упражнений), начитанный профессиональным диктором в учебном темпе. Запись может быть использована как для обучения аудированию (восприятию речи на слух), так и для прослушивания параллельно с чтением текста.","1 900 тг","5","Айрис","2018 г.","9785811247288","144","Мягкий","215 мм x 145 мм","180 г.","http://www.bookcity.kz/content/images/thumbs/5015458_1337021.jpeg"
"Мяу.Тетрадь для записи английских слов в начальной школе","Неизвестно","Тетрадь для записи английских слов в начальной школе выполнена в современном дизайне. Глянцевая ламинация придаёт насыщенность цветам, прочность и долговечность обложке. Следуя советам учителей английского языка, издание представляет собой тетради в линию, страницы которых разделены на три колонки: слово, транскрипция и перевод, - что отвечает потребностям учебного процесса в начальной школе. Кроме того, тетрадь включает необходимый учащимся справочный материал: алфавит, правила чтения гласных и согласных и их сочетаний, краткие сведения по грамматике","400 тг","4","Айрис","2019 г.","9785811257621","48","Мягкий","6 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5103752_1440187.jpeg"
"На западном фронте без перемен (книга д/чт. на  АНГЛ.языке)","Ремарк Э.М.","На «Западном фронте без перемен», знаменитый роман немецкого писателя Э. М. Ремарка, расска-зывает о поколении, которое погубила война, о тех, кто стал ее жертвой, даже если спасся от снарядов.
Книга адресована студентам языковых вузов, а так-же широкому кругу читателей, владеющих англий-ским языком.","3 000 тг","0","Каро","2019 г.","9785992513721","Мягкий","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5133216_1465332.jpeg"
"Нарцисс и Гольдмунд (книга для чтения на немецком языке)","Гессе Г.","Предлагаем любитялям немецкой литературы философский роман-притчу знаменитого писателя Германа Гессе, лауреата Нобелевской премии по литературе за 1946 год. Неадаптированный текст снабжен комментариями и словарем.","2 100 тг","1","Каро","2014 г.","9785992509236","416","Мягкий","165 мм x 120 мм","190 г.","http://www.bookcity.kz/content/images/thumbs/5008596_1327617.jpeg"
"Начальный курс разговорного шанхайского языка. 2-е изд., испр.и доп. + CD","Алексахин А.Н.","Предлагаемое издание представляет собой практическое пособие для изучения разговорного языка Шанхая (центрального представителя регионального языка у). Структура пособия включает введение, речевые образцы, сгруппированные по темам, упражнения, тематический словарь, представленный в буквенной и иероглифической записи на языке Шанхая и на языке Пекина. В приложении приводится сравнительный список слогов китайского языка путунхуа и языка Шанхая. Сравнительные данные по фонологии, лексике, грамматике и иероглифике языков Шанхая и Пекина могут послужить исходным учебным материалом для соответствующих учебных заведений, а также для всех интересующихся региональной дифференциацией китайского языка. .Пособие снабжено аудиозаписью речевых образцов, произносимых на путунхуа и на языке Шанхая.","4 200 тг","0","Восточная книга","2018 г.","9785787312126","Мягкий","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5126354_1458883.jpeg"
"Начальный уровень. Курс письма и чтения (1 часть) 2-е издание + СD","Неизвестно","Неизвестно","5 600 тг","0","Beijing language and culture university press","978756193360201","Мягкий","10 мм","Неизвестно","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5123670_1456115.jpeg"
"Начальный уровень. Курс письма и чтения (2-й уровень) 2-е издание + СD","Ли Цюань","Неизвестно","6 400 тг","0","Beijing language and culture university press","2013 г.","9787561934616","Мягкий","15 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5123576_1456152.jpeg"
"Начни общаться! Современный русско-английский суперразговорник","Карпенко Е.В.","Данный разговорник будет полезен во всех ситуациях, в которых может оказаться современный путешественник. Главное его отличие состоит в том, что он поможет не только задавать вопросы, но и понимать ответы на них, так как к каждому вопросу в разговорнике имеется несколько вариантов самых распространенных ответов. В книге подобраны слова и выражения по широкому спектру тем, которые пригодятся и на отдыхе, и в деловой поездке. Материал сгруппирован по тематическому принципу, и вы легко найдете нужный раздел и без труда сможете изучить меню в ресторане или список услуг в интернет-кафе, выяснить, почему не работает компьютер или мобильный телефон, найти дорогу или обсудить современные виды спорта и развлечения, наконец, просто познакомиться и договориться о встрече. Произношение передано транслитерацией русскими буквами.  Разговорник даст вам возможность чувствовать себя уверенно в незнакомой языковой среде.","2 600 тг","5","Эксмо","2019 г.","9785699431977","320","Мягкий","165 мм x 107 мм","187 г.","http://www.bookcity.kz/content/images/thumbs/5048428_1384132.jpeg"
"Начни общаться! Современный русско-итальянский суперразговорник","Гава Г.В.","Данный разговорник окажет помощь во всех ситуациях, в которых может оказаться современный путешественник. Главное его отличие состоит в том, что он поможет не только задавать вопросы, но и понимать ответы на них, так как к каждому вопросу в разговорнике имеется несколько вариантов самых распространенных ответов. В книге подобраны необходимые слова и выражения по широкому спектру тем, которые пригодятся и на отдыхе, и в деловой поездке. Материал сгруппирован по тематическому принципу, и вы легко найдете нужный раздел и без труда сможете изучить меню в ресторане или список услуг в Интернет-кафе, выяснить, почему не работает компьютер или мобильный телефон, найти дорогу или обсудить современные виды спорта и развлечения, наконец, просто познакомиться и договориться о встрече. Произношение передано транслитерацией русскими буквами.  Разговорник даст вам возможность чувствовать себя уверенно в незнакомой языковой среде.","2 400 тг","5","Эксмо","2018 г.","9785699449590","288","Мягкий","165 мм x 107 мм","183 г.","http://www.bookcity.kz/content/images/thumbs/5042952_1364644.jpeg"
"Начни общаться! Современный русско-китайский суперразговорник","Хотченко И.А.","Данный разговорник окажет помощь во всех ситуациях, в которых может оказаться современный путешественник. Главное его отличие состоит в том, что он поможет не только задавать вопросы, но и понимать ответы на них, так как к каждому вопросу в разговорнике имеется несколько вариантов самых распространенных ответов. В книге подобраны необходимые слова и выражения по широкому спектру тем, которые пригодятся и на отдыхе, и в деловой поездке.","2 400 тг","5","Эксмо","2019 г.","9785699536016","272","Мягкий","165 мм x 107 мм","170 г.","http://www.bookcity.kz/content/images/thumbs/5025749_1347811.jpeg"
"Начни общаться! Современный русско-турецкий суперразговорник","Логвиненко И.А.","Данный разговорник окажет помощь во всех ситуациях, в которых может оказаться современный путешественник. Главное его отличие со­стоит в том, что он поможет не только задавать вопросы, но и понимать ответы на них, так как к каждому вопросу в разговорнике имеется несколь­ко вариантов самых распространенных ответов. В книге подобраны необ­ходимые слова и выражения по широкому спектру тем, которые приго­дятся и на отдыхе, и в деловой поездке. Материал сгруппирован по те­матическому принципу, и вы легко найдете нужный раздел и без труда сможете изучить меню в ресторане или список услуг в интернет-кафе, выяснить, почему не работает компьютер или мобильный телефон, най­ти дорогу или обсудить современные виды спорта и развлечения, нако­нец, просто познакомиться и договориться о встрече. Произношение пе­редано транслитерацией русскими буквами. Разговорник даст вам возможность чувствовать себя уверенно в не­знакомой языковой среде.","2 600 тг","5","Эксмо","2019 г.","9785699475353","416","Мягкий","113 мм x 165 мм","240 г.","http://www.bookcity.kz/content/images/thumbs/5048125_1384890.jpeg"
"Начни общаться! Современный русско-японский суперразговорник","Жук Т.В.","Данный разговорник окажет помощь во всех ситуациях, в которых может оказаться современный путешественник. Главное его отличие состоит в том, что он поможет не только задавать вопросы, но и понимать ответы на них, так как к каждому вопросу в разговорнике имеется несколько вариантов самых распространенных ответов. В книге подобраны необходимые слова и выражения по широкому спектру тем, которые пригодятся и на отдыхе, и в деловой поездке. Материал сгруппирован по тематическому принципу, и вы легко найдете нужный раздел и без труда сможете изучить меню в ресторане или список услуг в интернет-кафе, выяснить, почему не работает компьютер или мобильный телефон, найти дорогу или обсудить современные виды спорта и развлечения, наконец, просто познакомиться и договориться о встрече. Произношение передано транслитерацией русскими буквами. Разговорник даст вам возможность чувствовать себя уверенно в незнакомой языковой среде.","2 400 тг","4","Эксмо","2018 г.","9785699507955","416","Мягкий","165 мм x 107 мм","256 г.","http://www.bookcity.kz/content/images/thumbs/5048111_1384134.jpeg"
"Немецкая грамматика в таблицах и схемах","Тимофеева Е.А.","Данное издание призвано помочь изучающим немецкий язык систематизировать и структурировать знания по грамматике. Основные грамматические правила представлены наглядно - в виде таблиц, схем и кратких пояснений. Все объяснения даются на русском языке, что делает возможным использование пособия на разных этапах изучения языка. Кроме грамматики, в книге освещаются и некоторые лексические трудности, с которыми часто приходится сталкиваться учащимся. Пособие предназначено для широкого круга читателей.","2 100 тг","5","Каро","2016 г.","9785992503890","144","Мягкий","5 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5085370_1424183.jpeg"
"Немецкая мистическая новелла (книга для чтения на немецком языке, неадаптированная)","Подгорная Л. сост.","В данный сборник включены пять немецких новелл XIX века, темой которых являются привидения, призраки, волшебные существа. Поскольку язык некоторых из представленных произведений достаточно архаичен, в книге приводится несколько адаптированный текст, снабженный комментариями и словарем. Все это облегчит читателям понимание содержания. Рекомендуется учащимся старших классов школ и младших курсов языковых вузов, а также широкому кругу любителей немецкого языка и литературы.","2 400 тг","1","Каро","2018 г.","9785992503623","320","Мягкий","165 мм x 120 мм","146 г.","http://www.bookcity.kz/content/images/thumbs/5040393_1362490.jpeg"
"Немецкие волшебные сказки. Из собрания братьев Гримм = Grimms Marchen","Франк И.","Неизвестно","3 600 тг","5","Восточная книга","2019 г.","9785787313260","200","Мягкий","19 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5120578_1453378.jpeg"
"Немецкие глаголы сильного спряжения (Карточки. 28 шт.)","Андронова Е А","Для запоминания немецких глаголов сильного спряжения удобнее всего карточки. Мы расположили на них все наиболее употребительные глаголы по типу чередования гласных в корне слова для эффективного заучивания. Каждый глагол снабжен переводом на русский язык. Для заучивания глаголов вы можете: - раскладывать карточки по темам или по сходству звучания глагольных форм, и читать их вслух, постепенно убирая те, которые вы уже твердо запомнили, - переписывать по одной карточке за раз,- закрывать глагольные формы, оставляя только перевод, и устраивать себе проверку, - повесить на видном месте карточки с теми глаголами, которые вам сложнее всего запомнить.","1 200 тг","5","Питер","2018 г.","9785001161189","28","Мягкий","15 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5116334_1449276.jpeg"
"Немецкие и австрийские сказки (книга для чтения на немецком языке, адаптированная)","Холодок М.В.","В предлагаемое вниманию читателей пособие вошли немецкие и австрийские народные сказки.  В книге представлен адаптированный текст сказок, а также разнообразные упражнения, последовательное выполнение которых обеспечит достижение желаемого результата - учащиеся смогут читать немецкоязычные литературные тексты.   Большое внимание при этом уделяется тому, чтобы обучение проходило активно, непринужденно и с удовольствием как для учеников, так и для учителя.  К каждому тексту предлагаются практические задания для обучения чтению. Они сгруппированы в следующие рубрики: упражнения на контроль понимания основного содержания и дальнейшее углубление понимания содержания текста упражнения на закрепление словарного запаса - разнообразные по форме и содержанию задания, которые способны превратить нудную зубрежку новых слов в живое и увлекательное занятие упражнения для повторения грамматики задания на восприятие немецкой речи на слух.   В эту рубрику включены наиболее сложные задания, выполнение которых требует комплексного использования языковых умений и навыков.","3 000 тг","1","Каро","2019 г.","9785992503579","160","Мягкий","5 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5130675_1463051.jpeg"
"Немецкий  язык.Тетрадь для записи новых слов","Неизвестно","Для изучающих немецкий язык:    немецкий алфавит и правила чтения,    склонение существительных и прилагательных,    множественное число существительных,    степени сравнения прилагательных,   правила употребления глаголов,    основные немецкие сильные и неправильные глаголы.","200 тг","5","АСТ","2010 г.","4606369096584","64","Мягкий","215 мм x 170 мм","80 г.","http://www.bookcity.kz/content/images/thumbs/5120904_1453711.jpeg"
"Немецкий для бизнеса. Переговоры по телефону","Венидиктова Н.И.","Книга ""Немецкий для бизнеса. Переговоры по телефону"" представляет собой практическое языковое пособие. Она предназначена для тех, кто имеет повседневные деловые контакты с партнерами из Германии, - для предпринимателей, референтов, переводчиков.   В ходе ежедневных телефонных переговоров им необходимы навыки делового общения и знание деловой лексики.  В книге обыгрываются типичные повседневные ситуации: как представиться и начать телефонный разговор, договориться о встрече, ее времени и месте, что-то предложить или о чем-то справиться. Специально построенные разговорные модели подскажут, как ориентироваться в тех случаях, когда в ходе разговора возникают затруднения.  В каждый раздел книги включены комментарии страноведческого характера, раскрывающие особенности немецкой традиции общения, отражающейся и в повседневном деловом общении по телефону.","6 600 тг","0","Живой язык","2010 г.","9785803307136","224","Твердый","215 мм x 145 мм","525 г.","http://www.bookcity.kz/content/images/thumbs/5114949_1447965.jpeg"
"Немецкий для всех. Практический курс","Юдина Е.В.","Пособие содержит полный грамматический курс немецкого языка, обеспечивает обширный словарный запас, способствует развитию навыков разговорной речи и позволяет перейти к беспереводному чтению оригинальной литературы. В приложении содержатся русско-немецкий разговорник делового языка, тексты для дополнительного чтения, объём и сложность которых постепенно возрастает, а также рабочая тетрадь с упражнениями и текстами, которые могут служить в качестве домашних заданий. Учебное пособие может быть использовано для занятий со студентами гуманитарных вузов и педагогических училищ, для изучения немецкого языка в качестве второго иностранного, на курсах иностранных языков и для индивидуальных занятий.","6 500 тг","4","Каро","2016 г.","9785992511574","640","Мягкий","32 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5099841_1435081.jpeg"
"Немецкий за 30 дней","Листвин Д.А.","""Немецкий за 30 дней"" — это отличный помощник для тех, кто хочет выучить немецкий язык легко и быстро. Книга состоит из 30 тематических уроков, в каждом из которых рассматриваются разнообразные аспекты немецкой лексики и грамматики. Каждый урок сопровождается упражнениями и заданиями, которые способствуют закреплению теоретического материала на практике. Самоучитель будет полезен всем, кто интересуется немецким языком или начинает его изучать.","2 000 тг","0","АСТ","2019 г.","9785171131647","Твердый","23 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5131386_1463753.jpeg"
"Немецкий с Артуром Шницлером. С широко закрытыми глазами (Новелла о снах) = Arthur Schnitzler. Traumnovelle","Неизвестно","Странная череда событий, случайных встреч и мистических совпадений уводит Фридолина все дальше сквозь таинственную и призрачную атмосферу ночи, полную загадок и неразрешенных вопросов, в которой реальность смешивается со снами, а самые потаенные фантазии и желания находят свой выход в окружающей действительности... Волнующая и утонченная новелла Шницлера, послужившая первоосновой для самого известного и загадочного фильма великого Стэнли Кубрика, вновь и вновь заставляет нас задуматься о том, что мы в действительности знаем о себе и не является ли окружающий нас мир всего лишь сновидением, сквозь которое, наугад нащупывая дорогу, мы бредем с широко закрытыми глазами...Текст новеллы адаптирован (без упрощения текста оригинала) по методу Ильи Франка: снабжен дословным переводом на русский язык и необходимым лексико-грамматическим комментарием. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.Для широкого круга лиц, изучающих немецкий язык и интересующихся культурой немецкоязычных стран.Пособие подготовила Любовь Расцветаева.","3 100 тг","0","Восточная книга","2017 г.","9785787311907","384","Мягкий","200 мм x 130 мм","235 г.","http://www.bookcity.kz/content/images/thumbs/5114924_1447941.jpeg"
"Немецкий с Вильгельмом Гауфом. Холодное сердце","Расцветаева Л.","Сказочная повесть Вильгельма Гауфа адаптирована в настоящем издании (без упрощения текста оригинала) по методу Ильи Франка: снабжена дословным переводом на русский язык и необходимым лексико-грамматическим комментарием. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь. Для широкого круга лиц, изучающих немецкий язык и интересующихся немецкой культурой.","2 400 тг","1","Восточная книга","2016 г.","9785787310672","224","Мягкий","200 мм x 130 мм","140 г.","http://www.bookcity.kz/content/images/thumbs/5115001_1430967.jpeg"
"Немецкий с любовью. Иммензее. Повесть об одной любви = Theodor Strom. Immensee","Неизвестно","В книге предлагается романтическая повесть немецкого писателя и поэта Теодора Шторма (1817–1888) «Иммензее», адаптированная (без упрощения текста оригинала) по методу Ильи Франка. Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь.Пособие способствует эффективному освоению языка, может служить дополнением к учебной программе. Предназначено для широкого круга лиц, изучающих немецкий язык и интересующихся немецкой культурой.","2 000 тг","3","Восточная книга","2018 г.","9785787312119","Мягкий","7 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5120647_1453471.jpeg"
"Немецкий со Стефаном Цвейгом. Жгучая тайна","Франк И. (ред.)","История двенадцатилетнего мальчика, впервые соприкоснувшегося со сложным и загадочным миром взрослых, стала одним из наиболее эмоционально насыщенных и психологически убедительных произведений классика австрийской литературы. .Текст новеллы адаптирован по методу Ильи Франка: снабжен дословным переводом на русский язык и необходимым лексико-грамматическим комментарием. .Уникальность метода заключается в том, что запоминание слов и выражений происходит за счет их повторяемости, без заучивания и необходимости использовать словарь. .Для широкого круга лиц, изучающих немецкий язык и интересующихся немецкой культурой. .","3 000 тг","0","Восточная книга","2017 г.","9785787310993","Мягкий","16 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5114995_1439527.jpeg"
"Немецкий язык без репетитора. Самоучитель немецкого языка","Нестерова Е.А.","Цель пособия - помочь читателю быстро и эффективно освоить немецкий язык. В этой книге вы найдете самую важную информацию о правильном произношении, самые нужные грамматические темы, а также узнаете все немецкие времена. Материал в пособии изложен максимально понятно и доступно, хорошо запоминается благодаря большому количеству примеров с широкоупотребительной лексикой. К каждому уроку дается словарик с лексикой, которая встретится в данном уроке. Для успешного закрепления пройденной темы даны упражнения, ключи к которым приводятся в конце книги. Пособие предназначается для широкого круга лиц, изучающих немецкий язык, и в первую очередь для тех, кто учится самостоятельно.","1 500 тг","1","АСТ","2019 г.","9785171157890","Мягкий","22 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5131734_1464097.jpeg"
"Немецкий язык для бакалавров: Учебник","Завгородняя Г.С.","Учебник состоит из пяти тематических модулей, каждый из которых включает в себя несколько занятий, и краткого грамматического справочника. Занятия содержат грамматические, лексические упражнения, задания на развитие навыков аудирования, устной речи и письма, тексты для изучающего чтения и перевода, тексты для ознакомительного чтения. После каждого модуля приводятся проектные задания и образцы тестов для рубежного контроля (по балльно-рейтинговой системе).
.Справочник содержит краткие теоретические сведения по основным разделам грамматики немецкого языка. Издание предназначено для студентов первого курса экономических направлений подготовки, изучающих немецкий язык в качестве первого иностранного языка, а также для всех, кто интересуется немецким языком.","8 300 тг","2","Феникс","2018 г.","9785222235249","Твердый","16 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5126895_1459385.jpeg"
"Немецкий язык для технических колледжей","Хайрова Н.В.","Данное учебное пособие по немецкому языку предназначено для студентов техникумов, колледжей и технических училищ, изучающих немецкий язык. Цель пособия - формирование прочных навыков чтения и перевода научно-технической литературы и других видов работы с текстом, а также развитие навыков и умений устной и письменной речи. Учебное пособие состоит из 15 уроков, включающих в себя словарь минимум, предтекстовые упражнения, тексты А и В, лексико-грамматические упражнения, тесты. В учебное пособие включены тексты для внеаудиторного чтения, грамматический справочник, список сокращений, список устойчивых словосочетаний, список глаголов сильного и неправильного спряжения и немецко-русский словарь. Учебное пособие можно использовать в любых учебных заведениях технического профиля.","1 400 тг","0","Феникс","2008 г.","9785222130063","384","200 мм x 130 мм","20 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5071767_1370018.jpeg"
"Немецкий язык от грамматики к устной речи","Кручинина М.А.","Пособие предназначено для учащихся 10-11 классов и поможет самостоятельно или на уроках готовиться к экзаменам в различных формах (тестирование, устное и письменное высказывание по предложенной теме, беседа с экзаменатором, перевод с русского языка на немецкий), а также к итоговой аттестации в формате ЕГЭ. Комплекс упражнений направлен на формирование грамматических навыков, необходимых для решения коммуникативных задач в учебных и реальных ситуациях. Разнообразие иноязычного материала позволяет развивать речевые умения и навыки: чтение, письмо, говорение.  Каждое грамматическое явление предъявляется и отрабатывается с использованием активного и пассивного лексического запаса по конкретным темам в рамках требований программы средней школы.","1 300 тг","2","Корона-Век","2015 г.","9785903383061","192","Мягкий","5 мм","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5116685_1449619.jpeg"
"Немецкий язык! Большой понятный самоучитель","Матвеев С.А.","""Пособие отличается оригинальной авторской подачей материала, которая непременно заинтересует всех, кто стремится овладеть немецким языком..Основной материал дополнен объемным, в высшей степени полезным Приложением, включающем Список Сводеша, Скороговорки, Перечень всевозможных вывесок и надписей, Список немецких имен и др..Пособие предназначено для самого широкого круга читателей, для тех, кто хочет быстро начать говорить, читать и писать на немецком языке.""","2 700 тг","1","АСТ","2019 г.","9785171168575","Твердый","15 мм","Неизвестно","Неизвестно","http://www.bookcity.kz/content/images/thumbs/5132252_1464594.jpeg"
